0.05	0.05	0.05	0.06	0.06	0.06	0.05	0.05	0.05	0.05
0.07	0.08	0.08	0.09	0.10	0.09	0.07	0.07	0.08	0.07
0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02
0.08	0.08	0.07	0.08	0.08	0.08	0.07	0.08	0.07	0.07
2.67	2.68	2.66	2.97	2.77	2.67	2.69	2.69	2.68	2.66
0.12	0.13	0.12	0.13	0.13	0.13	0.12	0.12	0.12	0.12
0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
8.39	8.73	8.48	9.72	9.12	8.56	8.54	8.24	8.28	8.41
0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06
0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0.05	0.05	0.06	0.06	0.06	0.05	0.05	0.05	0.05	0.05
0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03
0.09	0.11	0.10	0.08	0.09	0.09	0.09	0.10	0.09	0.09
0.09	0.09	0.09	0.08	0.09	0.08	0.09	0.09	0.09	0.10
0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04	0.04
0.07	0.07	0.08	0.07	0.08	0.07	0.07	0.07	0.07	0.08
0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0.05	0.05	0.05	0.04	0.05	0.05	0.05	0.05	0.05	0.05
1.68	1.72	1.69	1.80	1.74	1.72	1.69	1.72	1.68	1.72
0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08
0.10	0.10	0.10	0.11	0.12	0.10	0.11	0.11	0.11	0.10
0.08	0.08	0.09	0.09	0.09	0.08	0.09	0.08	0.08	0.08
0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.02	0.03	0.03
0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.05	0.04
0.06	0.05	0.05	0.06	0.06	0.05	0.05	0.05	0.06	0.05
0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.04
0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.04	0.03
0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.02
1.53	1.53	1.54	1.65	1.70	1.53	1.53	1.56	1.56	1.54
0.05	0.05	0.05	0.06	0.06	0.05	0.05	0.05	0.05	0.05

