807,265,645,231,16,568,576,842,544,567
517,4,215,532,548,349,962,451,248,5
923,571,775,297,160,702,246,952,258,63
809,509,969,131,695,505,33,177,707,665
606,287,910,299,819,654,81,465,469,47
729,782,244,342,102,6,885,459,621,174
199,411,327,952,179,237,447,497,275,358
475,606,671,835,396,169,48,271,773,119
378,304,515,858,193,498,905,442,900,161
513,587,848,575,640,222,976,719,831,472
556,192,417,39,123,320,679,91,302,404
155,116,456,991,981,122,250,137,902,76
265,44,812,487,778,185,669,389,474,766
636,783,862,94,267,676,239,837,281,615
407,609,494,654,82,850,722,836,542,377
917,136,162,814,906,421,569,96,424,698
465,400,160,677,189,870,280,562,726,702
309,153,95,977,333,270,746,895,797,903
860,11,21,247,737,881,567,760,552,243
448,195,276,728,888,964,331,217,939,328
394,284,496,743,641,101,45,585,895,513
694,887,445,979,388,751,422,173,506,252
126,92,859,457,801,422,470,243,733,700
616,729,960,638,362,74,861,970,140,857
664,617,837,685,100,656,68,977,731,374
833,943,159,488,999,495,272,235,36,567
824,690,755,746,348,744,56,449,683,81
735,358,589,573,211,775,460,63,539,888
180,911,398,485,569,978,857,345,717,260
736,793,595,314,107,822,158,226,518,10
466,679,935,816,864,412,608,337,855,144
486,927,745,586,765,414,363,891,593,124
468,303,367,148,541,347,421,628,523,494
344,880,89,424,729,358,126,884,976,127
766,776,529,378,491,679,483,547,276,204
28,759,717,772,750,557,651,599,402,258
969,996,301,932,499,851,939,486,511,761
425,900,304,989,775,102,773,650,935,431
200,239,6,934,801,580,409,456,443,211
674,356,561,93,505,510,345,433,301,841
420,842,976,660,9,233,172,563,751,719
260,943,209,682,694,258,806,300,727,156
206,560,225,178,463,696,569,793,716,350
85,528,809,433,509,368,233,350,125,520
343,705,347,453,673,668,972,604,601,813
340,892,920,505,140,271,458,949,871,261
174,652,71,452,821,401,782,58,726,22
112,257,581,705,877,212,863,984,11,14
941,84,413,492,226,882,801,602,414,878
272,116,89,819,134,188,592,743,683,187
860,119,64,542,359,781,258,304,183,114
712,364,797,225,438,795,556,421,647,78
572,777,632,218,373,25,376,909,953,375
681,779,711,752,449,966,169,750,678,531
658,406,808,865,287,383,581,100,869,934
872,411,988,417,356,403,954,567,346,640
907,351,348,459,615,710,834,874,884,995
705,481,695,257,63,281,855,257,920,97
217,37,76,122,321,931,6,737,677,533
885,208,414,750,164,34,9,330,563,434
235,177,448,328,291,451,698,840,983,394
296,786,536,950,867,366,403,41,283,899
639,814,89,586,555,247,959,978,109,11
458,373,96,237,618,144,969,992,417,188
282,907,527,828,637,161,197,662,925,839
281,234,604,937,325,289,675,282,964,921
416,595,517,605,75,101,671,165,482,296
156,63,404,115,380,596,57,624,265,556
396,890,588,692,822,631,171,607,142,376
10,776,65,481,957,299,232,614,599,352
515,590,505,282,531,548,670,729,642,773
211,36,370,454,609,15,703,274,381,171
945,365,841,225,19,803,41,704,862,81
82,563,96,317,875,547,117,72,886,311
953,45,601,115,855,559,179,343,414,654
458,744,219,69,199,359,358,82,632,653
168,465,470,376,265,43,567,806,597,667
69,931,649,544,372,77,399,808,613,176
889,654,359,736,133,759,727,952,524,278
423,381,340,489,980,25,395,27,100,677
107,107,17,644,595,17,15,832,561,15
999,357,277,261,566,848,572,921,886,369
916,682,527,72,798,425,962,673,687,390
163,79,47,626,560,744,187,703,355,85
694,918,993,94,995,952,80,513,982,851
808,731,48,697,136,23,42,137,347,742
730,946,960,265,889,893,776,191,987,853
302,752,745,679,312,909,265,235,964,44
708,465,136,137,390,206,833,674,296,55
148,482,331,114,575,705,378,901,512,426
517,469,317,994,155,116,84,978,939,228
391,107,483,749,619,269,404,815,858,70
532,993,715,499,871,828,762,497,525,250
266,347,387,791,358,660,357,190,446,626
284,377,911,193,685,743,18,74,744,871
907,273,609,271,620,400,66,864,55,215
441,90,348,546,171,350,689,493,454,123
90,586,889,154,705,84,915,655,680,269
247,695,449,903,557,915,431,418,272,330
788,567,559,737,337,827,592,477,743,792
