781,649,209,551,901,773,610,5,85,684
149,737,674,981,419,167,778,812,245,268
552,609,304,749,169,782,491,152,772,519
500,978,430,82,429,439,321,216,433,611
182,33,77,602,815,580,941,892,400,370
737,683,84,428,548,532,130,1,320,207
121,100,890,119,264,503,813,182,31,300
815,416,856,822,256,472,366,923,625,478
18,296,293,554,258,705,383,507,412,959
103,888,866,218,228,56,111,330,145,630
368,720,833,503,837,415,990,58,765,795
566,277,626,809,886,473,397,972,417,652
307,933,42,770,65,630,188,127,40,682
241,661,985,64,344,75,165,309,146,87
748,320,805,201,93,438,477,846,803,520
541,51,743,71,770,198,483,521,925,999
936,993,731,881,944,296,411,444,91,896
620,555,92,739,706,373,14,786,91,167
233,902,903,324,520,488,859,488,296,715
865,840,979,387,978,140,581,829,795,847
687,195,445,492,143,921,906,32,313,200
57,57,945,823,278,357,484,890,743,473
239,359,658,473,655,185,690,34,834,372
796,726,533,84,527,228,542,932,647,500
921,972,235,126,116,528,149,610,614,583
661,388,924,85,74,904,494,398,77,543
806,879,336,646,486,92,763,675,435,195
45,83,724,333,739,925,400,711,911,927
879,714,110,461,339,202,41,123,423,202
946,460,641,818,430,26,462,523,185,623
709,286,624,792,420,155,317,202,981,540
515,981,37,411,315,434,806,960,262,610
120,90,876,674,30,108,925,509,853,152
170,522,717,551,630,521,240,858,683,226
612,267,66,571,727,113,546,37,311,595
878,307,755,389,967,937,944,444,387,422
219,823,165,441,321,239,483,91,564,474
10,612,767,663,612,979,916,523,214,513
769,910,729,376,123,231,754,7,523,848
977,240,769,899,753,543,16,766,141,616
292,186,821,770,361,167,300,574,850,745
601,711,420,666,206,140,996,20,858,623
989,286,821,458,866,275,656,931,895,277
64,702,732,282,500,107,488,633,509,185
526,282,594,279,499,966,730,100,152,458
190,149,494,904,627,506,184,531,698,102
155,274,60,944,770,170,150,255,185,127
961,391,213,557,340,429,258,289,722,406
757,916,739,573,948,612,795,723,969,54
375,182,722,142,864,302,306,423,505,578
299,979,448,680,680,875,635,495,587,532
836,584,907,366,372,544,607,355,609,347
299,186,1,757,140,772,677,43,780,577
830,123,374,871,452,695,299,870,810,445
503,711,187,423,718,609,323,327,216,679
554,912,700,713,113,433,944,60,476,607
639,263,104,808,692,865,372,72,130,412
92,542,844,704,693,58,311,813,507,767
506,294,745,563,802,789,719,851,807,967
950,174,772,114,477,697,622,232,599,536
907,291,263,634,814,881,527,421,727,71
310,463,221,571,722,734,110,693,59,561
767,645,186,660,547,626,925,430,21,174
470,780,612,503,538,806,762,907,139,428
143,594,102,186,943,388,106,733,454,517
672,266,361,550,131,855,734,887,330,607
651,131,54,882,271,227,139,467,677,687
680,595,29,8,844,721,874,540,958,945
598,146,624,576,98,503,576,499,75,512
55,792,976,868,132,29,741,850,514,900
